81777,81731
287504,287506
694347,694353
888889,888913
899955,689525
534666,534683
414650,414644
440675,434745
171967,167480
787761,595658
36856,37351
894695,894699
481324,480685
329330,329328
857442,577967
633976,633978
657211,884648
936831,911913
918509,918509
152712,152719
556853,677006
269850,269848
873867,873865
582054,826879
837343,542989
572987,915426
311509,311509
358457,372732
198352,198352
291492,291490
144279,144279
303039,303037
844976,844966
694589,694585
212983,272529
826032,826040
418181,414136
846859,846829
469390,469388
838537,838543
869145,869145
602002,602003
604452,533405
133134,133140
162923,162921
510596,510592
938872,938923
124752,124752
81108,81104
579171,579175
167007,167001
328978,328972
331083,331091
236005,236003
433329,433333
662494,662428
368571,368405
469989,469984
522402,668115
85413,91387
827790,827788
751321,751317
193939,193941
378937,378935
284691,284692
862306,31413
540298,540298
876215,876313
157354,144424
780193,780154
299451,317081
481831,482926
469754,469727
279999,280005
31035,888627
287693,287693
564224,502160
55781,55781
357825,357827
666794,666715
762630,783318
904390,904388
306075,306073
617786,617782
674649,578995
568148,568150
17534,680541
73083,600379
373913,373915
123713,123709
159237,117711
360963,360967
799030,799027
317152,317149
535744,535750
239964,239966
917771,917628
244239,229229
203493,203497
898520,898550
